"Job Name","Working Title","Location","Organization Name","Department Description","Brief Description","Detailed Description","Job Requirements","Additional Details","How To Apply","Link"
"IRC6685","Critical Care Clinical Nurse Specialist","","ICU","","The successful candidate willÂ provide direct nursing care to a select population in a recognized nursing specialty area. Will plan, guide, and direct care given by other nursing personnel. 
Education/Training/Qualifications:
• Current Registered Nurse licensure to practice nursing in the state of Louisiana. 
• Specialist licensure to practice advance practice registered nursing in the state of Louisiana. 
• Current licensure and certification required by the LA. State Board of Nursing in Clinical Nurse Specialist. 
• Clinical nurse specialist role indicates a concentration/focus in Cardiovascular/Adult Critical Care Nursing either by primary education or experience. 
• Two years previous experience as Clinical Nurse Specialist preferred. 
• Professional knowledge of nursing theory and practice.","Fulltime; 8am - 4:30pm","Apply online @ www.lafayettegeneral.com
Â","8AMâ€“4:30PM","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=6685&p_spid=7007&oapc=5&oas=QbYWSaIWceS6z8lfSMcLhw.."
"IRC6846","RN","","St. Martin Hospital","","EDUCATION/TRAINING/EXPERIENCE:
Current licensure as a Registered Nurse in the State of Louisiana required.
CPR certification to be obtained with 30 days of hire.
Falls Prevention, OSHA, and Restraints training to be obtained with in 30 days of hire.
Â","PRN","Online @ www.lafayettegeneral.com","PRN","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=6846&p_spid=7168&oapc=8&oas=yqLoa85p1YfI2GI2QhtPvg.."
"IRC6921","Clinical Supervisor - Telemetry","","7th Floor","","• Two (2) years clinical experience required 
• Current licensure as a registered nurse in the State of Louisiana. 
• Current ACLS certification. 
• Experience with role of charge nurse. 
• Professional certification preferred. 
• At leaset one (1) year of management experience preferred. 
• Preferred Baccalaureate Degree in Nursing, Business, Health Care Administration, or equivalent experience.
• Current CPR certification; advanced certification preferred if appropriate for area of clinical practice.","Fulltime","Apply online at www.lafayettegeneral.com
Â","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=6921&p_spid=7243&oapc=11&oas=cb3YYMZF52JomiShPDARTg.."
"IRC7978","RN","","6th Floor","","EDUCATION/TRAINING/EXPERIENCE:
Current licensure as a Registered Nurse in the State of Louisiana required.
BLS Certification (CPR-C) to be obtained with in 30 days of hire.
Falls Prevention, OSHA &amp; Restraints to be obtained with in 30 days of hire and renewable annually.","Full-time; 7pm-7am","Online at www.lafayettegeneral.com","7PMâ€“7AM","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=7978&p_spid=8300&oapc=14&oas=ywQWsfjtsgzj836apxUokA.."
"IRC7037","RN","","7th Floor","","High School Diploma required.Â  Current licensure as a registered nurse with the State of Louisiana required.Â  Current BLS Certification CPR-C.Â  Advanced certification, if appropriate for area of clinical practice, preferred .","Fulltime","Online at www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=7037&p_spid=7359&oapc=17&oas=TbU2YIlY1rtwFUSDpvKtgw.."
"IRC7970","RN","","6th Floor","","EDUCATION/TRAINING/EXPERIENCE:
Current licensure as a Registered Nurse in the State of Louisiana required.
BLS Certification (CPR-C) to be obtained with in 30 days of hire.
Falls Prevention, OSHA &amp; Restraints to be obtained with in 30 days of hire and renewable annually.","Full-time; 7am-7pm","Online at www.lafayettegeneral.com","7AMâ€“7PM","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=7970&p_spid=8292&oapc=20&oas=jbaPSnvg_Vga4Hji4ht5Eg.."
"IRC8011","PRN-RN (One Area)","","NICU","","High School Diploma required.Â  Current licensure as a registered nurse with the State of Louisiana required.Â  
Current BLS Certification CPR-C.Â  Advanced certification, if appropriate for area of clinical practice, preferred.","PRN","Online at www.lafayettegeneral.com","PRN","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=8011&p_spid=8333&oapc=23&oas=Sz13AnIvzXai1OILCM2ZkQ.."
"IRC8000","RN/Specialty","","Recruitment-PRN","","Current licensure as a registered nurse in the State of Louisiana.
Must have one year of nursing work experience.
Current BLS Certification CPR-C.
Advanced certification preferred if appropriate for area of clinical practice.
Complies with ANA Code of Ethics.","Part-time","Online at www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=8000&p_spid=8322&oapc=26&oas=o4EpcHxwO770no-c0I2s8g.."
"IRC8005","RN/Speciality.2","","NICU","","High School Diploma required.Â  Current licensure as a registered nurse with the State of Louisiana required.Â  Current BLS Certification CPR-C.Â  Advanced certification, if appropriate for area of clinical practice, preferred .Â  Three years work experience in area of specialty or five years of hospital work experience required.","Full-time","Online at www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=8005&p_spid=8327&oapc=29&oas=tD0q8FbjG__vdhnRfSU_Og.."
"IRC8006","RN","","OB-GYN","","High School Diploma required.Â  Current licensure as a registered nurse with the State of Louisiana required.Â  
Current BLS Certification CPR-C.Â  Advanced certification, if appropriate for area of clinical practice, preferred .","Part-time","Online at www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=8006&p_spid=8328&oapc=32&oas=WqR9iMiCcI03UOtZqJHh5w.."
"IRC8007","RN","","OB-GYN","","High School Diploma required.Â  Current licensure as a registered nurse with the State of Louisiana required.Â  
Current BLS Certification CPR-C.Â  Advanced certification, if appropriate for area of clinical practice, preferred .","Part-time","Online at www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=8007&p_spid=8329&oapc=36&oas=ZuzvbtJnYhAHULZWQUnX7A.."
"IRC8009","PRN-RN (Multi Areas)","","Recruitment-PRN","","Current licensure as a registered nurse in the State of Louisiana.
Must have one year of nursing work experience.
Current BLS Certification CPR-C.
Advanced certification preferred if appropriate for area of clinical practice.
Complies with ANA Code of Ethics.","PRN","Online at www.lafayettegeneral.com","PRN","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=8009&p_spid=8331&oapc=39&oas=1tweuFw913j8qqjZKPv8BQ.."
"IRC7994","Inpatient/RN","","SMH Nursing Services","","","All shifts
Â","Apply online @ www.lafayettegeneral.com
Â","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=7994&p_spid=8316&oapc=42&oas=Zb6Ovn66V5V_NPf_7Xt2og.."
"IRC7740","RN","","6th Floor","","EDUCATION/TRAINING/EXPERIENCE:
Current licensure as a Registered Nurse in the State of Louisiana required.
BLS Certification (CPR-C) to be obtained with in 30 days of hire.
Falls Prevention, OSHA &amp; Restraints to be obtained with in 30 days of hire and renewable annually.","Fulltime","Online at www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=7740&p_spid=8062&oapc=45&oas=xiGv_KKfzOegi5lzTVN-ig.."
"IRC8029","RN-PRN","","Cyberknife","","EDUCATION/TRAINING/EXPERIENCE:
A. Current R.N. licensure by the Louisiana State Board of Nursing required.
B. B.S. degree preferred
C. Minimum of 3 years of cardiovascular nursing experience required
D. Current C.P.R. certification required
E. Current ACLS certification required
F. Three (3) references required
G. Basic and advanced telemetry monitoring training/experience required
H. No history or pending felony activity required","PRN","Apply online @ www.lafayettegeneral.com","PRN","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=8029&p_spid=8351&oapc=48&oas=Ow0eZLwbFjMSulZ0liRV4Q.."
"IRC8033","RN","","Oncology","","EDUCATION/TRAINING/EXPERIENCE:
1.Â Â Â Â Â Â  Current licensure as Registered Nurse in the State of Louisiana required.
2.Â Â Â Â Â Â  ONS certified; current Chemotherapy Provider card required
3.Â Â Â Â Â Â  BLS Certification (CPR-C) w/in 30 days of hire
4.Â Â Â Â Â Â  Advanced certification preferred if appropriate for area of clinical practice
5.Â Â Â Â Â Â  Maintains required in-services: (w/in 30 days of hire)
a.Â Â Â Â Â Â  Safety
b.Â Â Â Â Â Â  Body Mechanics
c.Â Â Â Â Â Â  Infection Control
6.Â Â Â Â Â Â  Completes annual employee health requirements w/in 30 days of hire
7.Â Â Â Â Â Â  Completes annual OSHA requirements w/in 30 days of hire
8.Â Â Â Â Â Â  Completes annual Nursing Skills Fair w/in 30 days of hire
9.Â Â Â Â Â Â  Completes annual Corporate Compliance w/in 30 days of hire","Full-time; 7pm-7am","Online at www.lafayettegeneral.com","7PMâ€“7AM","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=8033&p_spid=8355&oapc=51&oas=tEd8bIrfkcwjQ8IbiHicqw.."
"IRC8034","RN","","Oncology","","EDUCATION/TRAINING/EXPERIENCE:
1.Â Â Â Â Â Â  Current licensure as Registered Nurse in the State of Louisiana required.
2.Â Â Â Â Â Â  ONS certified; current Chemotherapy Provider card required
3.Â Â Â Â Â Â  BLS Certification (CPR-C) w/in 30 days of hire
4.Â Â Â Â Â Â  Advanced certification preferred if appropriate for area of clinical practice
5.Â Â Â Â Â Â  Maintains required in-services: (w/in 30 days of hire)
a.Â Â Â Â Â Â  Safety
b.Â Â Â Â Â Â  Body Mechanics
c.Â Â Â Â Â Â  Infection Control
6.Â Â Â Â Â Â  Completes annual employee health requirements w/in 30 days of hire
7.Â Â Â Â Â Â  Completes annual OSHA requirements w/in 30 days of hire
8.Â Â Â Â Â Â  Completes annual Nursing Skills Fair w/in 30 days of hire
9.Â Â Â Â Â Â  Completes annual Corporate Compliance w/in 30 days of hire","Full-time; 7pm-7am","Online at www.lafayettegeneral.com","7PMâ€“7AM","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1164957557&retainAM=N&addBreadCrumb=RP&p_svid=8034&p_spid=8356&oapc=54&oas=4Eph-DClJ_P4PhqMvEM6Sg.."
